Word,Meaning,Synonyms
entitled,,"denominate,accredit,enfranchise,capacitate,,,,,,,,,,,,,,,,,"
pertinacious,,"tenacious,assiduous,dogged,indefatigable,insistent,implacable,mulish,obstinate,obdurate,intransigent,intractable,refractory,indurate,,,,,,,,"
presumptuous,,"brazen,audacious,pert,impertinent,insolent,impudent,bumptious,impetuous,,,,,,,,,,,,,"
probity,,"rectitude,virtue,equity,ethics,,,,,,,,,,,,,,,,,"
proliferate,,"snowball,burgeon,escalate,,,,,,,,,,,,,,,,,,"
specious,,"misleading,deceptive,fallacious,,,,,,,,,,,,,,,,,,"
spurious,,"bogus,specious,factitious,feigned,contrived,fictitious,fallacious,meretricious,ersatz,phoney,adulterine,,,,,,,,,,"
subjective,,"intuitive,impressionistic,biased,prejudiced,bigoted,idiosyncratic,irrational,,,,,,,,,,,,,,"
subvert,,"oust,sabotage,undermine,debase,vitiate,,,,,,,,,,,,,,,,"
timorous,,"apprehensive,quaking,diffident,bashful,reticent,timid,demure,wimpish,recreant,,,,,,,,,,,,"
tortuous,,"sinuous,undulating,circuitous,labyrinthine,anfractuous,flexuous,verbose,,,,,,,,,,,,,,"
tractable,,"malleable,compliant,tame,meek,gullible,obsequious,sycophantic,,,,,,,,,,,,,,"
transient,,"transitory,ephemeral,evanescent,mutable,fugacious,,,,,,,,,,,,,,,,"
ubiquitous,,"omnipresent,pervasive,prevalent,predominant,inescapable,,,,,,,,,,,,,,,,"
venal,,"grafting,fraudulent,unscrupulous,mercenary,avaricious,rapacious,simoniac,,,,,,,,,,,,,,"
venerate,,"revere,adulate,deify,exalt,extol,aggrandize,lionize,laud,,,,,,,,,,,,,"
appease,,"assuage,conciliate,placate,pacify,propitiate,palliate,mollify,tranquillize,,,,,,,,,,,,,"
arbitrary,,"capricious,whimsical,erratic,haphazard,wanton,,,,,,,,,,,,,,,,"
archaic,,"obsolete,anachronistic,defunct,,,,,,,,,,,,,,,,,,"
clamorous,,"vociferous,raucous,rackety,tumultuous,importunate,insistent,vehement,,,,,,,,,,,,,,"
dearth,,"paucity,sparseness,scantiness,destitution,privation,exiguity,,,,,,,,,,,,,,,"
explicable,,"accountable,intelligible,exponible,,,,,,,,,,,,,,,,,,"
hyperbole,,"exaggeration,embroidery,embellishment,puffery,,,,,,,,,,,,,,,,,"
immutable,,"rigid,entrenched,indelible,ineradicable,perpetual,,,,,,,,,,,,,,,,"
indefatigable,,"indomitable,persistent,tenacious,dogged,assiduous,industrious,,,,,,,,,,,,,,,"
indolent,,"apathetic,lethargic,languid,torpid,plodding,lax,,,,,,,,,,,,,,,"
insular,,"parochial,myopic,dogmatic,rigid,entrenched,prejudiced,bigoted,partisan,xenophobic,,,,,,,,,,,,"
intransigent,,"obstinate,obdurate,inexorable,inveterate,adamant,tenacious,indurate,,,,,,,,,,,,,,"
intrepid,,"dauntless,unabashed,audacious,mettlesome,valiant,stalwart,,,,,,,,,,,,,,,"
irreverent,,"disdainful,scornful,contemptuous,insolent,impudent,impertinent,presumptuous,,,,,,,,,,,,,,"
loathe,,"abhor,abominate,execrate,abhorrence,antipathy,animosity,malice,enmity,aversion,repugnance,,,,,,,,,,,"
malign,,"The Latin root word mal means “bad” or “evil.”,inimical,malevolent,malignant,injurious,spiteful,malicious,malefic,vilify,calimniate,,,,,,,,,,,"
malleable,,"pliable,tractable,docile,complaisant,plastic,,,,,,,,,,,,,,,,"
neophyte,,"novice,initiate,fledgling,apprentice,probationer,tenderfoot,,,,,,,,,,,,,,,"
platitude,,"cliché,truism,commonplace,banality,,,,,,,,,,,,,,,,,"
prescient,,"prophetic,clairvoyant,prognostic,oracular,sibylline,,,,,,,,,,,,,,,,"
pristine,,"immaculate,flawless,virgin,unsullied,undefiled,,,,,,,,,,,,,,,,"
reproach,,"chide,reprimand,admonish,chastise,berate,castigate,lambaste,censure,carpet,objurgate,reprobate,,,,,,,,,,"
robust,,"stark,brawny,durable,resilient,hunky(Like Vishu),,,,,,,,,,,,,,,,"
salubrious,,"wholesome,salutary,luxurious,grand,,,,,,,,,,,,,,,,,"
sanction,,"deterrent,embargo,boycott,acquiescence,approbation,accreditation,ratification,,,,,,,,,,,,,,"
sedulous,,"meticulous,assiduous,industrious,laborious,punctilious,scrupulous,painstaking,pedantic,,,,,,,,,,,,,"
soporific,,"somnolent,calmative,tranquillizing,opiate,somnific,,,,,,,,,,,,,,,,"
stern,,"stringent,exacting,authoritarian,draconian,grim,Austere,,,,,,,,,,,,,,,"
accentuate,,"underline,underscore,spotlight,foreground,,,,,,,,,,,,,,,,,"
conjectural,,"putative,abstract,postulated,inferred,presupposed,tentative,groundless,,,,,,,,,,,,,,"
convivial,,"genial,affable,amiable,congenial,gregariousy,jovial,couthy,,,,,,,,,,,,,,"
decadent,,"dissolute,dissipated,depraved,louche,rakish,wanton,profligate,sybaritic,voluptuary,epicurean,,,,,,,,,,,"
egregious,,"ghastly,horrendous,abominable,abhorrent,harrowing,dire,flagrant,blatant,,,,,,,,,,,,,"
evanescent,,"dwindling,fugitive,fugacious,ephemeraly,transient,,,,,,,,,,,,,,,,"
flamboyant,,"ostentatious,exuberant,buoyantt,vivacious,rakish,lurid,,,,,,,,,,,,,,,"
forestall,,"thwart,avert,preclude,obviate,hinder,impede,,,,,,,,,,,,,,,"
gainsay,,"repudiate,debunk,refute,rebut,controvert,,,,,,,,,,,,,,,,"
galvanize,,"invigorate,vitalize,exhilarate,dynamize,,,,,,,,,,,,,,,,,"
indiscriminate,,"haphazard,heterogeneous,motley,chaotic,,,,,,,,,,,,,,,,,"
innocuous,,"innoxious,insipid,anodyne,commonplace,,,,,,,,,,,,,,,,,"
momentary,,"transient,transitory,ephemeral,evanescent,fugitive,fugacious,,,,,,,,,,,,,,,"
mundane,,"humdrum,prosaic,quotidian,commonplace,pedestrian,banal,hackneyed,trite,hacky,,,,,,,,,,,,"
nullify,,"rescind,abrogate,veto,obliterate,,,,,,,,,,,,,,,,,"
obviate,,"preclude,avert,,,,,,,,,,,,,,,,,,,"
omnipresent,,"ubiquitous,rife,prevalent,common,,,,,,,,,,,,,,,,,"
oust,,"depose,topple,purge,banish,deport,exile,,,,,,,,,,,,,,,"
palpable,,"discernible,observable,tangible,evident,apparent,conspicuous,,,,,,,,,,,,,,,"
perfidy,,"perfidiousness,infidelity,falsity,,,,,,,,,,,,,,,,,,"
profuse,,"copious,prolific,extravagant,effusive,inordinate,,,,,,,,,,,,,,,,"
pugnacious,,"belligerent,bellicose,contentious,defiant,truculent,irascible,,,,,,,,,,,,,,,"
sagacious,,"discerning,canny,acute,astute,shrewd,prudentl,percipient,sapient,,,,,,,,,,,,,"
sanguine,,"erubescent,rubescent,buoyant,,,,,,,,,,,,,,,,,,"
scant,,"meagre,deficient,exiguous,,,,,,,,,,,,,,,,,,"
skulduggery,,"unscrupulousness,chicanery,machinations,hanky-panky,,,,,,,,,,,,,,,,,"
trivial,,"frivolous,trifling,fiddling,paltry,nugatory,flimsy,,,,,,,,,,,,,,,"
utilitarian,,"practical,functional,pragmatic,workaday,robust,,,,,,,,,,,,,,,,"
vapid,,"insipid,colourless,feeble,zestless,trite,,,,,,,,,,,,,,,,"
boorish,,"coarse,impolite,churlish,barbarous,philistine,,,,,,,,,,,"
brook,,"tolerate,abide,countenance,,,,,,,,,,,,"
circumspect,,"wary,heedful,vigilant,prudent,canny,,,,,,,,,,,"
commensurate,,"corresponding,correspondent,commensurable,,,,,,,,,,,,,"
cordial,,"genial,affable,amiable,acute,fervent,fervid,ardent,profound,perfervid,,,,,,,"
deleterious,,"inimical,adverse,pernicious,ruinous,,,,,,,,,,,,"
dichotomy,,"gulf,chasm,polarity,antagonism,contrariety,,,,,,,,,,,"
edify,,"inculcate,indoctrinate,elevate,,,,,,,,,,,,,"
elicit,,"induce,prompt,engender,kindle,extort,,,,,,,,,,,"
erudite,,"lettered,sagacious,donnish,cerebral,pedantic,esoteric,recondite,sapient,,,,,,,,"
fecund,,"fertile,fruitful,prolific,fructuous,,,,,,,,,,,,"
feeble,,"puny,enfeebled,enervated,tottery,etiolated,craven,implausible,inept,paltry,futile,,,,,,"
felicitous,,"apposite,pertinent,germane,congruous,lucky,,,,,,,,,,,"
forbear,,"abstain,desist,eschew,,,,,,,,,,,,,"
haphazard,,"indiscriminate,chaotic,arbitrary,slapdash,slipshod,,,,,,,,,,,"
hodgepodge,,"assortment,ragbag,melange,,,,,,,,,,,,,"
impede,,"obstruct,hamper,thwart,balk,cumber,,,,,,,,,,,"
impetuous,,"heedless,imprudent,spontaneous,impromptu,precipitate,,,,,,,,,,,"
irascible,,"waspish,peevish,captious,fractious,iracund,,,,,,,,,,,"
mercenary,,"avaricious,covetous,rapacious,venal,materialistic,,,,,,,,,,,"
meticulous,,"conscientious,scrupulous,punctilious,painstaking,fastidious,pedantic,laborious,,,,,,,,,"
mordant,,"trenchant,acerbic,sardonic,scathing,pungent,incisive,polemic,virulent,vitriolic,waspish,,,,,,"
outstrip,,"overshadow,eclipse,,,,,,,,,,,,,,"
precarious,,"perilous,dubious,dodgy,,,,,,,,,,,,,"
quirky,,"quirkyeccentric,idiosyncratic,peculiar,zany,kinky,,,,,,,,,,,"
repudiate,,"abjure,recant,gainsay,controvert,refute,forsake,,,,,,,,,,"
tact,,"prudence,decorum,savvy,perception,subtlety,,,,,,,,,,,"
trifling,,"trivial,petty,incidental,frivolous,superficial,piddling,exiguous,,,,,,,,,"
turbulent,,"tempestuous,stormy,unstable,unsettled,tumultuous,chaotic,anarchic,agitated,boisterous,,,,,,,"
acumen,,"shrewdness,acuity,canniness,discernment,sagacity,perspicacity,ingenuity,savvy,,,,,,,,"
antithesis,,"contrast,(direct) opposite,converse,reverse,,,,,,,,,,,,"
ascribe,,"attribute,accredit,impute,,,,,,,,,,,,,"
befuddle,,"bewildered,fazed,perplexed,stupefied,fuddled,benumbed,vague,,,,,,,,,"
eschew,,"shun,abjure,relinquish,gainsay,repudiate,abnegate,abdicate,forsake,,,,,,,,"
esoteric,,"abstruse,arcane,recondite,abstract,perplexing,enigmatic,inscrutable,unfathomable,involuted,,,,,,,"
evasive,,"prevaricating,elusive,ambiguous,equivocal,vague,enigmatic,perplexing,gnomic,,,,,,,,"
expedite,,"hasten,precipitatee,facilitate,stimulate,,,,,,,,,,,,"
fastidious,,"scrupulous,punctilious,painstaking,meticulous,assiduous,sedulous,finicky,pedantic,exacting,,,,,,,"
feign,,"masquerade,malinger,ostensible,avowed,phoney,,,,,,,,,,,"
furtive,,"surreptitious,wily,clandestine,covert,skulking,,,,,,,,,,,"
hamper,,"basket,hinder,impede,inhibit,balk,thwart,foil,,,,,,,,,"
indispensable,,"vital,imperative,obligatory,acute,paramount,,,,,,,,,,,"
lament,,"wail,moaning,weeping,complaint,jeremiad,,,,,,,,,,,"
myopic,,"insular,parochial,provincial,,,,,,,,,,,,,"
nonchalant,,"airy,dispassionate,detached,apathetic,insouciant,,,,,,,,,,,"
partial,,"fragmentary,prejudiced,partisan,slanted,skewed,coloured,jaundiced,inequitable,,,,,,,,"
pensive,,"contemplative,cogitative,ruminative,wistful,melancholy,ruminant,,,,,,,,,,"
portend,,"presage,augur,foreshadow,foretell,herald,harbinger,,,,,,,,,,"
provincial,,"parochial,suburban,insular,limited,localist,bigoted,prejudiced,intolerant,jerkwater,,,,,,,"
rudimentary,,"primitive,vestigial,fundamental,abortive,obsolete,,,,,,,,,,,"
salutary,,"salubrious,profitable,practical,,,,,,,,,,,,,"
sever,,"amputate,sunder,terminate,cleave,,,,,,,,,,,,"
slight,,"scant,minuscule,exiguous,superficial,trifling,trivial,,,,,,,,,,"
somnolent,,"languid,lethargic,enervated,torpid,oscitant,tranquil,isolated,,,,,,,,,"
supersede,,"supplant,oust,override,succeed,,,,,,,,,,,,"
tout,,"endorse,urge,flaunt,advertise,publicize,,,,,,,,,,,"
wane,,"evanesce,remit,ebb,atrophy,attenuate,abate,evaporate,,,,,,,,,"
abhor,,"abominate,execrate,disdain,have an aversion to,disrelish,,,,,,,,,"
boisterous,,"exuberant,frisky,ebullient,tumultuous,clamorous,clangorous,animated,,,,,,,"
chivalrous,,"bold,gallant,urbane,intrepid,,,,,,,,,,"
churlish,,"boorish,loutish,uncharitable,surly,sullen,,,,,,,,,"
clandestine,,"covert,furtive,surreptitious,,,,,,,,,,,"
complacent,,"smug,gloating,triumphant,gratified,lax,wisenheimer,,,,,,,,"
cumbersome,,"complex,inefficient,wasteful,slow,lumbersome,,,,,,,,,"
debilitating,,"enfeeble,enervate,prostrate,torpefy,,,,,,,,,,"
deliberate,,"conscious,wilful,wanton,aforethought,ponderous,systematic,painstaking,meticulous,,,,,,"
droll,,"zany,quirky,eccentric,ludicrous,jocular,facetious,whimsical,,,,,,,"
eccentric,,"aberrant,anomalous,idiosyncratic,quirky,capricious,whimsical,avant garde,,,,,,,"
fractious,,"peevish,pettish,irascible,waspish,ornery,wayward,,,,,,,,"
limpid,,"lucid,intelligible,perceptible,coherent,luminous,pellucid,,,,,,,,"
obeisance,,"veneration,deference,reverence,salaam,,,,,,,,,,"
ostentatious,,"pretentious,conspicuous,obtrusive,flamboyant,gaudy,extravagant,,,,,,,,"
panacea,,"nostrum,elixir,,,,,,,,,,,,"
perfunctory,,"cursory,desultory,superficial,sketchy,mechanical/automatic,,,,,,,,,"
perilous,,"treacherous,precarious,dicey,gnarly,parlous,,,,,,,,,"
pervasive,,"prevalent,penetrating,ubiquitous,omnipresent,pandemic,insidious,,,,,,,,"
preclude,,",impede,inhibit,forbid,,,,,,,,,,"
predilection,,"penchant,proclivity,proneness,affinity,,,,,,,,,,"
rapacious,,"avaricious,covetous,mercenary,insatiable,voracious,extortionate,,,,,,,,"
relish,,"rapture,contentment,gratification,titillation,zest,,,,,,,,,"
satirical,,"sardonic,scornful,derisive,trenchant,mordant,acerbic,pungent,cynical,Hudibrastic,mordacious,,,,"
sham(Noun),,"charlatan,quack,mountebank,phoney,,,,,,,,,,"
skirt,,"circumnavigate,fringe,dodge,circumvent,,,,,,,,,,"
sluggish,,"stagnant,lethargic,torpid,languid,enervated,somnolent,indolent,,,,,,,"
spartan,,"austere,frugal,stringent,arduous,ascetic,abstemious,stark,,,,,,,"
truculent,,"belligerent,pugnacious,bellicose,obstreperous,sullen,scrappy,feisty(Like Greg),,,,,,,"
acrimonious,,"rancorous,scathing,trenchant,virulent,vitriolic,waspish,pernicious,irascible,mordacious,,,,,"
